sigma_tp,diameter,epoch_mjd,ad,producer,rms,H_sigma,closeness,K2,K1,M1,two_body,full_name,M2,sigma_per,equinox,DT,diameter_sigma,saved,albedo,moid_ld,pha,neo,sigma_ad,PC,profit,spkid,sigma_w,sigma_i,per,id,A1,data_arc,A3,score,per_y,sigma_n,epoch_cal,orbit_id,sigma_a,sigma_om,A2,sigma_e,condition_code,rot_per,prov_des,G,last_obs,H,price,IR,spec_T,epoch,n_obs_used,moid,extent,spec_B,e,GM,tp_cal,pdes,class,UB,a,t_jup,om,ma,name,i,tp,prefix,BV,spec,q,w,moid_jup,n,sigma_ma,first_obs,n_del_obs_used,sigma_q,n_dop_obs_used
4.7231e-05,67.354,58200.0,3.185756920759752,Otto Matic,0.42318,,2643.532053312177,,,,,99 Dike,,9.276e-06,J2000,,0.416,5.735588166561343e+17,0.065,443.1128537,N,N,1.2391e-08,,2583814802737754.0,2000099.0,1.9838e-05,5.663e-06,1589.956776152208,a0000099,,37628.0,,132.19660266560888,4.35306441109434,1.321e-09,20180323.0,JPL 88,1.0369e-08,1.6815e-05,,4.7844e-08,0.0,18.127,,,2018-01-27,9.43,4.008416182992873e+16,,C,2458200.5,2049.0,1.13861,,Xk,0.1949636866603882,,20160512.0506726,99.0,MBA,0.322,2.66598638630025,3.315,41.527339760281,153.9549763457103,Dike,13.84875333324132,2457520.5506726024,,0.703,Xk,2.146215851840747,195.5295381051958,1.82485,0.2264212495582565,1.0857e-05,1915-01-20,,1.2638e-07,
9.3251e-05,85.734,58200.0,3.609405312875998,Otto Matic,0.49419,,2634.824862434999,,,,,100 Hekate,,1.3628e-05,J2000,,1.961,-8.192966152709472e+17,0.205,603.8906558,N,N,1.6545e-08,,7.181132389841278e-39,2000100.0,4.3978e-05,4.9578e-06,1982.04130515776,a0000100,,53730.0,,2.235461433208587e-49,5.42653334745451,1.2489e-09,20180323.0,JPL 31,1.4155e-08,4.1393e-05,,4.3257e-08,0.0,27.066,,,2018-02-23,7.67,1.1177307166042937e-37,,S,2458200.5,2184.0,1.55174,,S,0.1688518555820016,,20150809.5977909,100.0,MBA,0.363,3.087992114346075,3.194,127.1886359441128,173.7122200188006,Hekate,6.430925114820893,2457244.097790867,,0.838,S,2.566578915816151,184.6051539490478,1.66831,0.1816309271977286,1.737e-05,1871-01-15,,1.3359e-07,
7.8479e-05,65.84,58200.0,2.945195688797508,Otto Matic,0.50102,,2644.7131341567124,,,,,101 Helena,,8.2222e-06,J2000,,1.3,-3.710661749562959e+17,0.1898,471.5845309,N,N,1.0644e-08,,3.264599872448433e-39,2000101.0,3.1419e-05,5.7209e-06,1516.743842165572,a0000101,,53551.0,,1.0124588675478744e-49,4.15261832215078,1.2867e-09,20180323.0,JPL 96,9.3367e-09,2.6529e-05,,5.1447e-08,0.0,23.08,,0.35,2017-11-02,8.33,5.062294337739372e-38,,S,2458200.5,1504.0,1.21177,,S,0.1400002512270608,,20180104.5426614,101.0,MBA,0.426,2.583504420834462,3.387,343.4024235698537,18.38454267593551,Helena,10.19516967147492,2458123.0426614033,,0.854,S,2.221813152871415,348.3317230254279,2.41739,0.2373505597926148,1.866e-05,1871-03-22,,1.3344e-07,
4.3187e-05,82.595,58200.0,3.332859791270692,Otto Matic,0.49244,,2644.6319523938146,,,,,102 Miriam,,6.9259e-06,J2000,,0.4,-3.661074455002121e+17,0.051,383.57568125,N,N,9.7092e-09,,2.829389679412936e+16,2000102.0,4.0257e-05,3.2369e-06,1584.96444229073,a0000102,,54085.0,,132.25159761969073,4.33939614590207,9.9252e-10,20180323.0,JPL 80,7.7502e-09,3.9397e-05,,3.14e-08,0.0,23.613,,,2018-02-26,9.26,4.3875646601831725e+17,,P,2458200.5,2212.0,0.985625,,C,0.2527650999070572,,20160416.3536679,102.0,MBA,0.371,2.660402809367819,3.334,210.8570608970623,160.2765795670157,Miriam,5.178548361541846,2457494.853667929,,0.726,C,1.987945827464947,147.1760278760371,2.1351,0.227134433047404,1.0292e-05,1870-01-28,,8.0625e-08,
0.00012837,83.908,58200.0,2.920095643203028,Otto Matic,0.52143,,2641.5050923041604,,,,,103 Hera,,8.4446e-06,J2000,,2.091,-7.680544494525114e+17,0.217,573.8350567,N,N,1.0123e-08,,6.74906299075998e-39,2000103.0,5.0663e-05,4.4071e-06,1623.919152246845,a0000103,,53652.0,,2.095646519652146e-49,4.44604832921792,1.1528e-09,20180323.0,JPL 105,9.3734e-09,4.2996e-05,,3.9131e-08,0.0,23.74,,,2018-02-24,7.66,1.047823259826073e-37,,S,2458200.5,2090.0,1.47451,,S,0.07999005997867915,,20190517.5007714,103.0,MBA,0.441,2.703817147410297,3.355,136.134143827867,266.7809025499325,Hera,5.416232264402448,2458621.000771401,,0.853,S,2.487538651617566,188.0758281562056,2.32463,0.221685913059099,2.8311e-05,1871-04-04,,1.0575e-07,
8.4876e-05,136.553,58200.0,3.649525192450105,Otto Matic,0.49777,,2633.714989471927,,,,,104 Klymene,,1.3316e-05,J2000,,1.554,-1.6544400169164541e+18,0.052,644.5122204,N,N,1.5898e-08,,1.2733235302626613e+17,2000104.0,8.9258e-05,5.2054e-06,2037.884870106623,a0000104,,48107.0,,131.70574947359634,5.57942469570602,1.1543e-09,20180323.0,JPL 86,1.3704e-08,8.8057e-05,,4.3203e-08,0.0,8.984,,,2017-06-03,8.27,1.9827410340419528e+18,,C,2458200.5,2088.0,1.65612,,Ch,0.1601537651674972,,20200801.5167731,104.0,MBA,0.34,3.145725421942845,3.187,41.6838455595461,207.6331794381904,Klymene,2.790207822476621,2459063.0167731363,,0.688,Ch,2.641925651435585,31.81230195271307,1.63799,0.176653747854345,1.4658e-05,1885-09-16,,1.3713e-07,
5.0115e-05,112.326,58200.0,2.794501744631812,Otto Matic,0.46898,,2650.3094067178704,,,,,105 Artemis,,4.3069e-06,J2000,,0.375,-15142991100.000002,0.016,393.3691443,N,N,6.0082e-09,,1172808779.0039966,2000105.0,1.7956e-05,4.3501e-06,1335.468282891861,a0000105,,41377.0,,132.53547033589354,3.65631288950544,8.6936e-10,20180323.0,JPL 103,5.1027e-09,1.2535e-05,,3.2101e-08,0.0,37.15506,,0.1,2017-09-30,8.57,18147910788.6075,,C,2458200.5,1977.0,1.01079,,Ch,0.177463945269146,0.14046665,20170817.103824,105.0,MBA,0.317,2.373322559777439,3.43,188.2598262673973,58.73791566750903,Artemis,21.44347405026576,2457982.6038239524,,0.693,Ch,1.952143374923066,56.94289714499642,2.31309,0.2695683638554453,1.3579e-05,1904-06-18,2.0,7.7164e-08,0.0
8.4446e-05,207.869,58200.0,3.703729475876477,Otto Matic,0.55478,,2633.237469676285,,,,,106 Dione,,1.2479e-05,J2000,,2.158,-21372839220.0,0.044,645.360611,N,N,1.489e-08,,1644641360.9094687,2000106.0,6.3072e-05,4.8353e-06,2069.325097865681,a0000106,,53658.0,,131.68187348381426,5.66550334802377,1.0491e-09,20180323.0,JPL 108,1.2776e-08,6.1487e-05,,4.6105e-08,0.0,16.26,,,2018-02-11,7.41,25613987151.046497,,G,2458200.5,2017.0,1.6583,,Cgh,0.1654287451017912,0.19825483000000002,20151009.4666495,106.0,MBA,0.464,3.177997360579076,3.174,62.14811223716052,155.7957261110951,Dione,4.597429751330949,2457304.9666494946,,0.743,Cgh,2.652265245281675,330.0098396467745,1.73085,0.1739697645243403,1.5123e-05,1871-03-16,,1.4456e-07,
0.00021136,254.0,58200.0,3.720164938844458,Otto Matic,0.46329,,2627.5686749628717,,,,,107 Camilla,,1.7729e-05,J2000,,12.0,160608000000.0,0.059,891.0514154,N,N,1.8455e-08,,719151003.7729473,2000107.0,3.6712e-05,3.6879e-06,2382.628724256536,a0000107,,54474.0,,131.3984337481436,6.52328192814931,1.1243e-09,20180323.0,JPL 98,1.7319e-08,2.0389e-05,,3.0407e-08,0.0,4.844,,0.08,2018-01-27,7.08,11224371200.0,,C,2458200.5,2656.0,2.28962,,X,0.06559023293186171,0.747376,20191205.7508725,107.0,OMB,0.298,3.491177775352546,3.1,172.6097420839968,265.9063160676496,Camilla,10.00130391725332,2458823.250872523,,0.705,X,3.262190611860633,306.7708804823126,1.35299,0.1510936203928846,3.1775e-05,1868-12-05,,1.0704e-07,
0.00021106,75.498,58200.0,3.418118498654805,Otto Matic,0.513,,2631.31679187674,,,,,108 Hecuba,,1.5893e-05,J2000,,1.891,-5.594847350962682e+17,0.148,800.7990007,N,N,1.7018e-08,,4.897352885799518e-39,2000108.0,5.635e-05,4.6424e-06,2128.199678916474,a0000108,,50436.0,,1.5265613508765847e-49,5.82669316609575,1.2633e-09,20180323.0,JPL 44,1.6121e-08,4.3934e-05,,3.7765e-08,0.0,14.256,,,2018-02-27,8.09,7.632806754382924e-38,,S,2458200.5,2246.0,2.05771,,Sl,0.05562860579478728,,20190920.2758014,108.0,OMB,0.502,3.237993438119545,3.178,349.9958708770234,267.5935916802823,Hecuba,4.219696189940785,2458746.775801433,,0.855,Sl,3.057868377584285,205.1338539634332,1.55228,0.1691570596342191,3.5878e-05,1880-01-26,,1.245e-07,
